nid,title,category,indicator_type,measurement_unit,reference_year,source,description,data_csv,data_json,source_file
271,"Share of participant types receiving grants for Cybersecurity projects: Share of other organisations receiving grants for cybersecurity projects","Cybersecurity related projects",public_data,perc,"2005-2025 No data is available for 2006-2007","Multiple sources (see the Methodological Note)","Measures the proportion of different participant groups (such as NGOs, private companies, public entities, research institutions, SMEs, and universities) that receive financial support or grants for cybersecurity-related projects.",data/271.csv,data/271.json,61.csv
272,"Share of participant types receiving grants for Cybersecurity projects: Share of private companies receiving grants for cybersecurity project","Cybersecurity related projects",public_data,perc,"2005-2025 No data is available for 2006-2007","Multiple sources (see the Methodological Note)","Measures the proportion of different participant groups (such as NGOs, private companies, public entities, research institutions, SMEs, and universities) that receive financial support or grants for cybersecurity-related projects.",data/272.csv,data/272.json,62.csv
273,"Share of participant types receiving grants for Cybersecurity projects: Share of public entities receiving grants for cybersecurity projects","Cybersecurity related projects",public_data,perc,"2005-2025 No data is available for 2006-2007","Multiple sources (see the Methodological Note)","Measures the proportion of different participant groups (such as NGOs, private companies, public entities, research institutions, SMEs, and universities) that receive financial support or grants for cybersecurity-related projects.",data/273.csv,data/273.json,63.csv
274,"Share of participant types receiving grants for Cybersecurity projects: Share of research institutions receiving grants for cybersecurity projects","Cybersecurity related projects",public_data,perc,"2005-2025 No data is available for 2006-2007","Multiple sources (see the Methodological Note)","Measures the proportion of different participant groups (such as NGOs, private companies, public entities, research institutions, SMEs, and universities) that receive financial support or grants for cybersecurity-related projects.",data/274.csv,data/274.json,64.csv
275,"Share of participant types receiving grants for Cybersecurity projects: Share of SMEs receiving grants for cybersecurity projects","Cybersecurity related projects",public_data,perc,"2005-2025 No data is available for 2006-2007","Multiple sources (see the Methodological Note)","Measures the proportion of different participant groups (such as NGOs, private companies, public entities, research institutions, SMEs, and universities) that receive financial support or grants for cybersecurity-related projects.",data/275.csv,data/275.json,65.csv
276,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects","Cybersecurity related projects",public_data,perc,"2005-2025 No data is available for 2006-2007","Multiple sources (see the Methodological Note)","Measures the proportion of different participant groups (such as NGOs, private companies, public entities, research institutions, SMEs, and universities) that receive financial support or grants for cybersecurity-related projects.",data/276.csv,data/276.json,66.csv
221,"Share of tender budget per million people","Cybersecurity related tenders",public_data,euro,2014-2025,Opentender,"Measures how much of the total tender budget is allocated per one million inhabitants in each country. This indicator helps compare the relative investment or funding distribution across countries, considering population differences.",data/221.csv,data/221.json,11.csv
219,"Share of tender budgets across participating countries","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Measures the proportion of the total allocated budget for tenders distributed among different participating countries. Helps in assessing how tender funds are distributed geographically.",data/219.csv,data/219.json,9.csv
220,"Share of tenders per country","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Measures the proportion of total tenders (e.g., procurement opportunities, bids, or contracts) that are associated with each country. It provides insight into the level of tender activity in each country.",data/220.csv,data/220.json,10.csv
217,"Status of the project per country:
Closed projects per country","Cybersecurity related projects",public_data,perc,"Period:2005-2025, No data is available for 2006-2007 period","Multiple sources (see the Methodological Note)","Provide a comprehensive view of the progress and outcomes of projects over their entire lifecycle per country",data/217.csv,data/217.json,7.csv
218,"Status of the project per country:
Ongoing projects per country","Cybersecurity related projects",public_data,perc,"Period:2005-2025, No data is available for 2006-2007 period","Multiple sources (see the Methodological Note)","Provide a comprehensive view of the progress and outcomes of projects over their entire lifecycle per country",data/218.csv,data/218.json,8.csv
225,"Supply type distribution:
Services distribution","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Measures the proportion of different types of supplies, goods, or services that are being procured or tendered. Provides insight into market demand trends.",data/225.csv,data/225.json,15.csv
226,"Supply type distribution:
Supplies distribution","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Measures the proportion of different types of supplies, goods, or services that are being procured or tendered. Provides insight into market demand trends.",data/226.csv,data/226.json,16.csv
227,"Supply type distribution:
Works distribution","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Measures the proportion of different types of supplies, goods, or services that are being procured or tendered. Provides insight into market demand trends.",data/227.csv,data/227.json,17.csv
223,"Tender size benchmark:
Above threshold tender size benchmark","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Refers to a reference point or standard used to compare and assess the size of tenders.",data/223.csv,data/223.json,13.csv
224,"Tender size benchmark:
Below threshold tender size benchmark","Cybersecurity related tenders",public_data,perc,2014-2025,Opentender,"Refers to a reference point or standard used to compare and assess the size of tenders.",data/224.csv,data/224.json,14.csv
245,"Top in-demand Cybersecurity positions:
Share of companies ranking chief security/information officer as most important role
","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/245.csv,data/245.json,35.csv
253,"Top in-demand Cybersecurity positions:
Share of companies ranking Cyber security researcher as most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/253.csv,data/253.json,43.csv
251,"Top in-demand Cybersecurity positions:
Share of companies ranking digital forensic investigator as most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/251.csv,data/251.json,41.csv
246,"Top in-demand Cybersecurity positions:
Share of companies ranking emergency and crisis management expert as most important role
","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/246.csv,data/246.json,36.csv
252,"Top in-demand Cybersecurity positions:
Share of companies ranking incident response handler as most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/252.csv,data/252.json,42.csv
249,"Top in-demand Cybersecurity positions:
Share of companies ranking legal compliance expert as most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/249.csv,data/249.json,39.csv
247,"Top in-demand Cybersecurity positions:
Share of companies ranking procurement experts most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/247.csv,data/247.json,37.csv
248,"Top in-demand Cybersecurity positions:
Share of companies ranking security inspector, auditor as most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/248.csv,data/248.json,38.csv
250,"Top in-demand Cybersecurity positions:
Share of companies ranking security training expert as most important role","Cybersecurity skills",public_data,perc,2024,Eurobarometer,"Helps to determine which cybersecurity roles are essential for safeguarding their systems and data. The positions can be prioritised in terms of hiring, training, and investment.",data/250.csv,data/250.json,40.csv
