Country,Abbr,Indicator,Data
Belgium,BE,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",39%
Bulgaria,BG,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",22%
Czechia,CZ,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",30%
Denmark,DK,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",21%
Germany,DE,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",33%
Estonia,EE,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",13%
Ireland,IE,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",23%
Greece,EL,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",35%
Spain,ES,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",36%
France,FR,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",25%
Croatia,HR,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",20%
Italy,IT,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",50%
Cyprus,CY,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",24%
Latvia,LV,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",12%
Lithuania,LT,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",48%
Luxembourg,LU,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",35%
Hungary,HU,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",27%
Malta,MT,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",15%
Netherlands,NL,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",30%
Austria,AT,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",29%
Poland,PL,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",30%
Portugal,PT,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",40%
Romania,RO,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",22%
Slovenia,SI,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",39%
Slovakia,SK,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",9%
Finland,FI,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",41%
Sweden,SE,"Pathways to cybersecurity employment: Share of companies recruited employees from non-cybersecurity roles, %",34%
