Country,Abbr,Indicator,Data
Austria,AT,"Average project size per participant types: Average project size for NGOs, (€)", 115711.92 
Belgium,BE,"Average project size per participant types: Average project size for NGOs, (€)", 309655.65 
Bulgaria,BG,"Average project size per participant types: Average project size for NGOs, (€)", 90847.74 
Switzerland,CH,"Average project size per participant types: Average project size for NGOs, (€)", 199339.58 
Cyprus,CY,"Average project size per participant types: Average project size for NGOs, (€)", 159057.10 
Czechia (Czech Republic),CZ,"Average project size per participant types: Average project size for NGOs, (€)", 132088.12 
Germany,DE,"Average project size per participant types: Average project size for NGOs, (€)", 485086.51 
Denmark,DK,"Average project size per participant types: Average project size for NGOs, (€)", 120944.60 
Estonia,EE,"Average project size per participant types: Average project size for NGOs, (€)", 118215.86 
Greece,EL,"Average project size per participant types: Average project size for NGOs, (€)", 124498.11 
Spain,ES,"Average project size per participant types: Average project size for NGOs, (€)", 182670.55 
Finland,FI,"Average project size per participant types: Average project size for NGOs, (€)", 95777.37 
France,FR,"Average project size per participant types: Average project size for NGOs, (€)", 114892.49 
Croatia,HR,"Average project size per participant types: Average project size for NGOs, (€)", 189086.57 
Hungary,HU,"Average project size per participant types: Average project size for NGOs, (€)", 152999.66 
Ireland,IE,"Average project size per participant types: Average project size for NGOs, (€)", 353750.00 
Iceland,IS,"Average project size per participant types: Average project size for NGOs, (€)",
Italy,IT,"Average project size per participant types: Average project size for NGOs, (€)", 161762.26 
Lithuania,LT,"Average project size per participant types: Average project size for NGOs, (€)", 240265.89 
Luxembourg,LU,"Average project size per participant types: Average project size for NGOs, (€)", 382750.00 
Latvia,LV,"Average project size per participant types: Average project size for NGOs, (€)", 246819.04 
North Macedonia,MK,"Average project size per participant types: Average project size for NGOs, (€)",
Malta,MT,"Average project size per participant types: Average project size for NGOs, (€)", 268750.00 
Netherlands,NL,"Average project size per participant types: Average project size for NGOs, (€)", 283732.65 
Norway,NO,"Average project size per participant types: Average project size for NGOs, (€)", 419427.63 
Poland,PL,"Average project size per participant types: Average project size for NGOs, (€)", 141211.01 
Portugal,PT,"Average project size per participant types: Average project size for NGOs, (€)", 231734.06 
Romania,RO,"Average project size per participant types: Average project size for NGOs, (€)", 189060.25 
Serbia,RS,"Average project size per participant types: Average project size for NGOs, (€)", 934262.90 
Sweden,SE,"Average project size per participant types: Average project size for NGOs, (€)", 245984.17 
Slovenia,SI,"Average project size per participant types: Average project size for NGOs, (€)", 214360.28 
Slovakia,SK,"Average project size per participant types: Average project size for NGOs, (€)", 171391.02 
Turkey,TR,"Average project size per participant types: Average project size for NGOs, (€)", 138635.33 
United Kingdom,UK,"Average project size per participant types: Average project size for NGOs, (€)", 107895.18 
