Country,Abbr,Indicator,Data
Austria,AT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.86%
Belgium,BE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",6.46%
Bulgaria,BG,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",9.54%
Switzerland,CH,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",3.27%
Cyprus,CY,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.88%
Czechia (Czech Republic),CZ,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",3.93%
Germany,DE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",18.00%
Denmark,DK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.73%
Estonia,EE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.60%
Greece,EL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.65%
Spain,ES,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.00%
Finland,FI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.46%
France,FR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.34%
Croatia,HR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.33%
Hungary,HU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",2.09%
Ireland,IE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.67%
Iceland,IS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.00%
Italy,IT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.54%
Lithuania,LT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",9.67%
Luxembourg,LU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.02%
Latvia,LV,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",4.20%
North Macedonia,MK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.00%
Malta,MT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",2.81%
Netherlands,NL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.37%
Norway,NO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",3.35%
Poland,PL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",2.22%
Portugal,PT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",2.72%
Romania,RO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",8.31%
Serbia,RS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",41.64%
Sweden,SE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.76%
Slovenia,SI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",4.73%
Slovakia,SK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",8.64%
Turkey,TR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",1.80%
United Kingdom,UK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to NGOs,%",0.31%
