Country,Abbr,Indicator,Data
Belgium,BE,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",24%
Bulgaria,BG,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",30%
Czechia,CZ,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",34%
Denmark,DK,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",10%
Germany,DE,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",13%
Estonia,EE,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",8%
Ireland,IE,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",24%
Greece,EL,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",52%
Spain,ES,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",20%
France,FR,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",17%
Croatia,HR,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",24%
Italy,IT,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",58%
Cyprus,CY,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",54%
Latvia,LV,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",25%
Lithuania,LT,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",25%
Luxembourg,LU,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",21%
Hungary,HU,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",28%
Malta,MT,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",23%
Netherlands,NL,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",46%
Austria,AT,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",44%
Poland,PL,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",21%
Portugal,PT,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",47%
Romania,RO,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",28%
Slovenia,SI,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",16%
Slovakia,SK,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",24%
Finland,FI,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",32%
Sweden,SE,"Top in-demand Cybersecurity positions: Share of companies ranking chief security/information officer as most important role,%",33%
