Country,Abbr,Indicator,Data
Belgium,BE,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",16%
Bulgaria,BG,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",11%
Czechia,CZ,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",9%
Denmark,DK,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",5%
Germany,DE,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",14%
Estonia,EE,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",9%
Ireland,IE,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",12%
Greece,EL,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",22%
Spain,ES,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",10%
France,FR,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",6%
Croatia,HR,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",4%
Italy,IT,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",40%
Cyprus,CY,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",31%
Latvia,LV,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",7%
Lithuania,LT,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",17%
Luxembourg,LU,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",14%
Hungary,HU,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",6%
Malta,MT,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",12%
Netherlands,NL,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",12%
Austria,AT,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",16%
Poland,PL,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",10%
Portugal,PT,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",39%
Romania,RO,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",7%
Slovenia,SI,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",13%
Slovakia,SK,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",12%
Finland,FI,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",10%
Sweden,SE,"Top in-demand Cybersecurity positions: Share of companies ranking security training expert as most important role,%",7%
