Country,Abbr,Indicator,Data
Austria,AT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",9.74%
Belgium,BE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",36.25%
Bulgaria,BG,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",39.38%
Switzerland,CH,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",36.07%
Cyprus,CY,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",63.17%
Czechia (Czech Republic),CZ,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",6.58%
Germany,DE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",15.23%
Denmark,DK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",39.02%
Estonia,EE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",55.35%
Greece,EL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",26.96%
Spain,ES,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",17.32%
Finland,FI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",16.11%
France,FR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",18.76%
Croatia,HR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",1.00%
Hungary,HU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",31.55%
Ireland,IE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",27.47%
Iceland,IS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",69.66%
Italy,IT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",15.13%
Lithuania,LT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",10.51%
Luxembourg,LU,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",21.23%
Latvia,LV,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",8.59%
North Macedonia,MK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",0.00%
Malta,MT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",27.72%
Netherlands,NL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",46.88%
Norway,NO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",11.48%
Poland,PL,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",33.15%
Portugal,PT,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",22.77%
Romania,RO,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",25.06%
Serbia,RS,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",20.04%
Sweden,SE,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",13.47%
Slovenia,SI,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",29.69%
Slovakia,SK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",19.70%
Turkey,TR,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",7.62%
United Kingdom,UK,"Share of budgets granted for Cybersecurity projects per type of the participant: Share of budgets granted for cybersecurity projects to SMEs,%",24.65%
