Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",41%
Bulgaria,BG,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",25%
Czechia,CZ,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",29%
Denmark,DK,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",10%
Germany,DE,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",53%
Estonia,EE,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",6%
Ireland,IE,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",32%
Greece,EL,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",48%
Spain,ES,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",34%
France,FR,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",29%
Croatia,HR,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",35%
Italy,IT,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",52%
Cyprus,CY,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",38%
Latvia,LV,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",38%
Lithuania,LT,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",40%
Luxembourg,LU,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",17%
Hungary,HU,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",27%
Malta,MT,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",20%
Netherlands,NL,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",53%
Austria,AT,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",41%
Poland,PL,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",36%
Portugal,PT,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",51%
Romania,RO,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",32%
Slovenia,SI,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",54%
Slovakia,SK,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",46%
Finland,FI,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",29%
Sweden,SE,"Cybersecurity recruitment challenges:
Share of companies citing lack of applicants for cybersecurity roles, %",36%
