Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",24%
Bulgaria,BG,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",29%
Czechia,CZ,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",9%
Denmark,DK,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",3%
Germany,DE,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",20%
Estonia,EE,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",31%
Ireland,IE,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",14%
Greece,EL,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",10%
Spain,ES,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",30%
France,FR,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",0%
Croatia,HR,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",8%
Italy,IT,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",19%
Cyprus,CY,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",52%
Latvia,LV,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",8%
Lithuania,LT,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",34%
Luxembourg,LU,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",20%
Hungary,HU,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",19%
Malta,MT,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",22%
Netherlands,NL,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",16%
Austria,AT,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",21%
Poland,PL,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",26%
Portugal,PT,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",18%
Romania,RO,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",18%
Slovenia,SI,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",37%
Slovakia,SK,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",31%
Finland,FI,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",27%
Sweden,SE,"Cybersecurity recruitment challenges:
Share of companies citing the need for continuous cybersecurity training, %",20%
