Country,Abbr,Indicator,Data
Austria,AT,"Share of Cybersecurity projects across participating countries,%",3.34%
Belgium,BE,"Share of Cybersecurity projects across participating countries,%",5.64%
Bulgaria,BG,"Share of Cybersecurity projects across participating countries,%",1.17%
Switzerland,CH,"Share of Cybersecurity projects across participating countries,%",2.73%
Cyprus,CY,"Share of Cybersecurity projects across participating countries,%",2.88%
Czechia (Czech Republic),CZ,"Share of Cybersecurity projects across participating countries,%",1.64%
Germany,DE,"Share of Cybersecurity projects across participating countries,%",8.06%
Denmark,DK,"Share of Cybersecurity projects across participating countries,%",1.47%
Estonia,EE,"Share of Cybersecurity projects across participating countries,%",1.33%
Greece,EL,"Share of Cybersecurity projects across participating countries,%",5.98%
Spain,ES,"Share of Cybersecurity projects across participating countries,%",8.06%
Finland,FI,"Share of Cybersecurity projects across participating countries,%",2.24%
France,FR,"Share of Cybersecurity projects across participating countries,%",6.95%
Croatia,HR,"Share of Cybersecurity projects across participating countries,%",0.79%
Hungary,HU,"Share of Cybersecurity projects across participating countries,%",1.14%
Ireland,IE,"Share of Cybersecurity projects across participating countries,%",2.99%
Iceland,IS,"Share of Cybersecurity projects across participating countries,%",0.10%
Italy,IT,"Share of Cybersecurity projects across participating countries,%",7.72%
Lithuania,LT,"Share of Cybersecurity projects across participating countries,%",1.00%
Luxembourg,LU,"Share of Cybersecurity projects across participating countries,%",1.66%
Latvia,LV,"Share of Cybersecurity projects across participating countries,%",0.68%
North Macedonia,MK,"Share of Cybersecurity projects across participating countries,%",0.12%
Malta,MT,"Share of Cybersecurity projects across participating countries,%",0.42%
Netherlands,NL,"Share of Cybersecurity projects across participating countries,%",4.84%
Norway,NO,"Share of Cybersecurity projects across participating countries,%",1.89%
Poland,PL,"Share of Cybersecurity projects across participating countries,%",2.66%
Portugal,PT,"Share of Cybersecurity projects across participating countries,%",2.94%
Romania,RO,"Share of Cybersecurity projects across participating countries,%",2.62%
Serbia,RS,"Share of Cybersecurity projects across participating countries,%",0.61%
Sweden,SE,"Share of Cybersecurity projects across participating countries,%",2.59%
Slovenia,SI,"Share of Cybersecurity projects across participating countries,%",1.28%
Slovakia,SK,"Share of Cybersecurity projects across participating countries,%",0.94%
Turkey,TR,"Share of Cybersecurity projects across participating countries,%",0.65%
United Kingdom,UK,"Share of Cybersecurity projects across participating countries,%",4.68%
