Country,Abbr,Indicator,Data
Belgium,BE,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",7%
Bulgaria,BG,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",11%
Czechia,CZ,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",17%
Denmark,DK,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",5%
Germany,DE,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",8%
Estonia,EE,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",7%
Ireland,IE,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",11%
Greece,EL,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",17%
Spain,ES,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",2%
France,FR,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",2%
Croatia,HR,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",8%
Italy,IT,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",21%
Cyprus,CY,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",4%
Latvia,LV,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",7%
Lithuania,LT,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",25%
Luxembourg,LU,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",8%
Hungary,HU,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",7%
Malta,MT,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",15%
Netherlands,NL,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",7%
Austria,AT,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",6%
Poland,PL,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",3%
Portugal,PT,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",12%
Romania,RO,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",15%
Slovenia,SI,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",10%
Slovakia,SK,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",10%
Finland,FI,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",9%
Sweden,SE,"Top in-demand Cybersecurity positions: Share of companies ranking procurement experts most important role,",11%
