Country,Abbr,Indicator,Data
Belgium,BE,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",14%
Bulgaria,BG,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",25%
Czechia,CZ,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",10%
Denmark,DK,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",8%
Germany,DE,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",17%
Estonia,EE,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",7%
Ireland,IE,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",21%
Greece,EL,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",13%
Spain,ES,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",15%
France,FR,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",10%
Croatia,HR,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",8%
Italy,IT,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",13%
Cyprus,CY,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",17%
Latvia,LV,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",8%
Lithuania,LT,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",19%
Luxembourg,LU,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",21%
Hungary,HU,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",11%
Malta,MT,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",22%
Netherlands,NL,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",9%
Austria,AT,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",12%
Poland,PL,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",16%
Portugal,PT,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",17%
Romania,RO,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",13%
Slovenia,SI,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",7%
Slovakia,SK,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",23%
Finland,FI,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",31%
Sweden,SE,"Top in-demand Cybersecurity positions: Share of companies ranking legal compliance expert as most important role,%",15%
