Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",59%
Bulgaria,BG,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",89%
Czechia,CZ,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",72%
Denmark,DK,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",32%
Germany,DE,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",60%
Estonia,EE,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",27%
Ireland,IE,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",61%
Greece,EL,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",81%
Spain,ES,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",56%
France,FR,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",59%
Croatia,HR,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",70%
Italy,IT,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",72%
Cyprus,CY,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",64%
Latvia,LV,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",49%
Lithuania,LT,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",46%
Luxembourg,LU,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",70%
Hungary,HU,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",57%
Malta,MT,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",70%
Netherlands,NL,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",62%
Austria,AT,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",53%
Poland,PL,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",47%
Portugal,PT,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",65%
Romania,RO,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",49%
Slovenia,SI,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",57%
Slovakia,SK,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",75%
Finland,FI,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",46%
Sweden,SE,"Cybersecurity skills gap in hiring:
Share of enterprises having some difficulties in hiring staff with appropriate cybersecurity skills, %",33%
