Country,Abbr,Indicator,Data
Austria,AT,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",17.70%
Belgium,BE,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",20.66%
Bulgaria,BG,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",9.43%
Switzerland,CH,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",19.43%
Cyprus,CY,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",13.87%
Czechia (Czech Republic),CZ,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",32.32%
Germany,DE,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",23.70%
Denmark,DK,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",38.97%
Estonia,EE,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",33.33%
Greece,EL,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",18.16%
Spain,ES,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",15.67%
Finland,FI,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",30.22%
France,FR,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",15.33%
Croatia,HR,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",10.29%
Hungary,HU,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",31.46%
Ireland,IE,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",28.98%
Iceland,IS,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",28.57%
Italy,IT,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",19.35%
Lithuania,LT,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",29.31%
Luxembourg,LU,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",13.45%
Latvia,LV,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",21.88%
North Macedonia,MK,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",55.56%
Malta,MT,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",35.71%
Netherlands,NL,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",29.19%
Norway,NO,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",28.65%
Poland,PL,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",17.94%
Portugal,PT,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",16.88%
Romania,RO,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",13.95%
Serbia,RS,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",27.27%
Sweden,SE,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",32.80%
Slovenia,SI,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",16.03%
Slovakia,SK,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",25.00%
Turkey,TR,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",12.50%
United Kingdom,UK,"Share of participant types receiving grants for Cybersecurity projects: Share of universities receiving grants for cybersecurity projects,%",42.92%
