Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",48%
Bulgaria,BG,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",32%
Czechia,CZ,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",65%
Denmark,DK,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",43%
Germany,DE,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",67%
Estonia,EE,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",48%
Ireland,IE,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",64%
Greece,EL,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",69%
Spain,ES,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",56%
France,FR,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",39%
Croatia,HR,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",63%
Italy,IT,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",63%
Cyprus,CY,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",59%
Latvia,LV,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",41%
Lithuania,LT,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",34%
Luxembourg,LU,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",74%
Hungary,HU,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",57%
Malta,MT,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",72%
Netherlands,NL,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",60%
Austria,AT,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",62%
Poland,PL,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",59%
Portugal,PT,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",64%
Romania,RO,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",42%
Slovenia,SI,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",63%
Slovakia,SK,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",63%
Finland,FI,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",62%
Sweden,SE,"Cybersecurity workforce within companies: Share of companies employing at least one Cybersecurity professionals, %",64%
