Country,Abbr,Indicator,Data
Austria,AT,Share of tender budget per million people (€),312975.29
Belgium,BE,Share of tender budget per million people (€),126703.26
Bulgaria,BG,Share of tender budget per million people (€),76163.08
Switzerland,CH,Share of tender budget per million people (€),55468.87
Czechia (Czech Republic),CZ,Share of tender budget per million people (€),1585587.27
Germany,DE,Share of tender budget per million people (€),133606.08
Denmark,DK,Share of tender budget per million people (€),113384.74
Estonia,EE,Share of tender budget per million people (€),285755.15
Spain,ES,Share of tender budget per million people (€),48266.89
Finland,FI,Share of tender budget per million people (€),751813.77
France,FR,Share of tender budget per million people (€),139147.46
Greece,EL,Share of tender budget per million people (€),18503.95
Croatia,HR,Share of tender budget per million people (€),221508.48
Hungary,HU,Share of tender budget per million people (€),61694.74
Ireland,IE,Share of tender budget per million people (€),722610.77
Italy,IT,Share of tender budget per million people (€),178891.83
Lithuania,LT,Share of tender budget per million people (€),80477.23
Luxembourg,LU,Share of tender budget per million people (€),2989065.19
Latvia,LV,Share of tender budget per million people (€),
North Macedonia,MK,Share of tender budget per million people (€),101718.47
Malta,MT,Share of tender budget per million people (€),411428.81
Netherlands,NL,Share of tender budget per million people (€),227910.60
Norway,NO,Share of tender budget per million people (€),1971538.30
Poland,PL,Share of tender budget per million people (€),1818305.66
Portugal,PT,Share of tender budget per million people (€),58759.52
Romania,RO,Share of tender budget per million people (€),20582.57
Serbia,RS,Share of tender budget per million people (€),256891.24
Sweden,SE,Share of tender budget per million people (€),174689.54
United Kingdom,UK,Share of tender budget per million people (€),808568.26
