Country,Abbr,Indicator,Data
Belgium,BE,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,28%
Bulgaria,BG,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,27%
Czechia,CZ,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,31%
Denmark,DK,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,40%
Germany,DE,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,26%
Estonia,EE,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,19%
Ireland,IE,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,15%
Greece,EL,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,34%
Spain,ES,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,33%
France,FR,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,25%
Croatia,HR,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,13%
Italy,IT,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,19%
Cyprus,CY,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,24%
Latvia,LV,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,17%
Lithuania,LT,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,36%
Luxembourg,LU,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,26%
Hungary,HU,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,20%
Malta,MT,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,21%
Netherlands,NL,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,29%
Austria,AT,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,16%
Poland,PL,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,22%
Portugal,PT,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,22%
Romania,RO,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,23%
Slovenia,SI,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,23%
Slovakia,SK,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,28%
Finland,FI,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,31%
Sweden,SE,Most critical Cybersecurity skills: Share of companies focusing on data protection and privacy practices,8%
