Country,Abbr,Indicator,Data
Austria,AT,"Share of tender budgets across participating countries,%",1.40%
Belgium,BE,"Share of tender budgets across participating countries,%",0.70%
Bulgaria,BG,"Share of tender budgets across participating countries,%",0.30%
Switzerland,CH,"Share of tender budgets across participating countries,%",0.20%
Czechia (Czech Republic),CZ,"Share of tender budgets across participating countries,%",4.60%
Germany,DE,"Share of tender budgets across participating countries,%",5.50%
Denmark,DK,"Share of tender budgets across participating countries,%",0.30%
Estonia,EE,"Share of tender budgets across participating countries,%",0.20%
Spain,ES,"Share of tender budgets across participating countries,%",1.10%
Finland,FI,"Share of tender budgets across participating countries,%",2.10%
France,FR,"Share of tender budgets across participating countries,%",4.70%
Greece,EL,"Share of tender budgets across participating countries,%",0.10%
Croatia,HR,"Share of tender budgets across participating countries,%",0.40%
Hungary,HU,"Share of tender budgets across participating countries,%",0.30%
Ireland,IE,"Share of tender budgets across participating countries,%",1.80%
Italy,IT,"Share of tender budgets across participating countries,%",5.30%
Lithuania,LT,"Share of tender budgets across participating countries,%",0.10%
Luxembourg,LU,"Share of tender budgets across participating countries,%",0.90%
Latvia,LV,"Share of tender budgets across participating countries,%",0.00%
North Macedonia,MK,"Share of tender budgets across participating countries,%",0.10%
Malta,MT,"Share of tender budgets across participating countries,%",0.10%
Netherlands,NL,"Share of tender budgets across participating countries,%",2.00%
Norway,NO,"Share of tender budgets across participating countries,%",5.20%
Poland,PL,"Share of tender budgets across participating countries,%",34.00%
Portugal,PT,"Share of tender budgets across participating countries,%",0.30%
Romania,RO,"Share of tender budgets across participating countries,%",0.20%
Serbia,RS,"Share of tender budgets across participating countries,%",0.90%
Sweden,SE,"Share of tender budgets across participating countries,%",0.90%
United Kingdom,UK,"Share of tender budgets across participating countries,%",26.40%
