Country,Abbr,Indicator,Data
Belgium,BE,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",7%
Bulgaria,BG,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",15%
Czechia,CZ,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",0%
Denmark,DK,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",1%
Germany,DE,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",14%
Estonia,EE,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",3%
Ireland,IE,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",16%
Greece,EL,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",4%
Spain,ES,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",7%
France,FR,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",13%
Croatia,HR,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",5%
Italy,IT,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",13%
Cyprus,CY,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",7%
Latvia,LV,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",3%
Lithuania,LT,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",34%
Luxembourg,LU,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",9%
Hungary,HU,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",30%
Malta,MT,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",8%
Netherlands,NL,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",20%
Austria,AT,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",16%
Poland,PL,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",17%
Portugal,PT,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",15%
Romania,RO,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",14%
Slovenia,SI,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",2%
Slovakia,SK,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",29%
Finland,FI,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",1%
Sweden,SE,"Cybersecurity recruitment challenges: Share of companies struggling to manage cybersecurity staff turnover, %",5%
