Country,Abbr,Indicator,Data
Austria,AT,"Supply type distribution:Works distribution, %",0%
Belgium,BE,"Supply type distribution:Works distribution, %",0%
Bulgaria,BG,"Supply type distribution:Works distribution, %",0%
Switzerland,CH,"Supply type distribution:Works distribution, %",0%
Czechia (Czech Republic),CZ,"Supply type distribution:Works distribution, %",11%
Germany,DE,"Supply type distribution:Works distribution, %",8%
Denmark,DK,"Supply type distribution:Works distribution, %",0%
Estonia,EE,"Supply type distribution:Works distribution, %",0%
Spain,ES,"Supply type distribution:Works distribution, %",0%
Finland,FI,"Supply type distribution:Works distribution, %",0%
France,FR,"Supply type distribution:Works distribution, %",0%
Greece,EL,"Supply type distribution:Works distribution, %",0%
Croatia,HR,"Supply type distribution:Works distribution, %",0%
Hungary,HU,"Supply type distribution:Works distribution, %",0%
Ireland,IE,"Supply type distribution:Works distribution, %",0%
Italy,IT,"Supply type distribution:Works distribution, %",0%
Lithuania,LT,"Supply type distribution:Works distribution, %",0%
Luxembourg,LU,"Supply type distribution:Works distribution, %",0%
Latvia,LV,"Supply type distribution:Works distribution, %",
North Macedonia,MK,"Supply type distribution:Works distribution, %",0%
Malta,MT,"Supply type distribution:Works distribution, %",0%
Netherlands,NL,"Supply type distribution:Works distribution, %",0%
Norway,NO,"Supply type distribution:Works distribution, %",0%
Poland,PL,"Supply type distribution:Works distribution, %",2%
Portugal,PT,"Supply type distribution:Works distribution, %",0%
Romania,RO,"Supply type distribution:Works distribution, %",0%
Serbia,RS,"Supply type distribution:Works distribution, %",0%
Sweden,SE,"Supply type distribution:Works distribution, %",0%
United Kingdom,UK,"Supply type distribution:Works distribution, %",4%
