Country,Abbr,Indicator,Data
Belgium,BE,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",13%
Bulgaria,BG,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",8%
Czechia,CZ,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",15%
Denmark,DK,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",4%
Germany,DE,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",15%
Estonia,EE,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",7%
Ireland,IE,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",21%
Greece,EL,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",21%
Spain,ES,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",25%
France,FR,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",16%
Croatia,HR,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",7%
Italy,IT,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",19%
Cyprus,CY,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",27%
Latvia,LV,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",4%
Lithuania,LT,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",3%
Luxembourg,LU,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",15%
Hungary,HU,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",5%
Malta,MT,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",36%
Netherlands,NL,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",17%
Austria,AT,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",27%
Poland,PL,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",13%
Portugal,PT,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",19%
Romania,RO,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",25%
Slovenia,SI,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",16%
Slovakia,SK,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",11%
Finland,FI,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",10%
Sweden,SE,"Pathways to cybersecurity employment: Share of companies recruiting employees as career starters (e.g., Graduates), %",15%
