Country,Abbr,Indicator,Data
Austria,AT,"Share of budgets granted for Cybersecurity projects across participating countries,%",3.05%
Belgium,BE,"Share of budgets granted for Cybersecurity projects across participating countries,%",4.57%
Bulgaria,BG,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.43%
Switzerland,CH,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.92%
Cyprus,CY,"Share of budgets granted for Cybersecurity projects across participating countries,%",1.91%
Czechia (Czech Republic),CZ,"Share of budgets granted for Cybersecurity projects across participating countries,%",1.10%
Germany,DE,"Share of budgets granted for Cybersecurity projects across participating countries,%",11.17%
Denmark,DK,"Share of budgets granted for Cybersecurity projects across participating countries,%",1.66%
Estonia,EE,"Share of budgets granted for Cybersecurity projects across participating countries,%",1.30%
Greece,EL,"Share of budgets granted for Cybersecurity projects across participating countries,%",7.26%
Spain,ES,"Share of budgets granted for Cybersecurity projects across participating countries,%",11.42%
Finland,FI,"Share of budgets granted for Cybersecurity projects across participating countries,%",2.64%
France,FR,"Share of budgets granted for Cybersecurity projects across participating countries,%",10.13%
Croatia,HR,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.71%
Hungary,HU,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.55%
Ireland,IE,"Share of budgets granted for Cybersecurity projects across participating countries,%",2.67%
Iceland,IS,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.08%
Italy,IT,"Share of budgets granted for Cybersecurity projects across participating countries,%",10.59%
Lithuania,LT,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.69%
Luxembourg,LU,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.94%
Latvia,LV,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.44%
North Macedonia,MK,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.03%
Malta,MT,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.24%
Netherlands,NL,"Share of budgets granted for Cybersecurity projects across participating countries,%",7.30%
Norway,NO,"Share of budgets granted for Cybersecurity projects across participating countries,%",2.51%
Poland,PL,"Share of budgets granted for Cybersecurity projects across participating countries,%",2.23%
Portugal,PT,"Share of budgets granted for Cybersecurity projects across participating countries,%",2.14%
Romania,RO,"Share of budgets granted for Cybersecurity projects across participating countries,%",1.37%
Serbia,RS,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.34%
Sweden,SE,"Share of budgets granted for Cybersecurity projects across participating countries,%",2.43%
Slovenia,SI,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.80%
Slovakia,SK,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.40%
Turkey,TR,"Share of budgets granted for Cybersecurity projects across participating countries,%",0.58%
United Kingdom,UK,"Share of budgets granted for Cybersecurity projects across participating countries,%",3.47%
