Country,Abbr,Indicator,Data
Austria,AT,"Share of Cybersecurity projects budget per million people, (€) ", 13719802.64 
Belgium,BE,"Share of Cybersecurity projects budget per million people, (€) ", 15872755.36 
Bulgaria,BG,"Share of Cybersecurity projects budget per million people, (€) ", 2553816.09 
Switzerland,CH,"Share of Cybersecurity projects budget per million people, (€) ", 4285964.56 
Cyprus,CY,"Share of Cybersecurity projects budget per million people, (€) ", 86302236.42 
Czechia (Czech Republic),CZ,"Share of Cybersecurity projects budget per million people, (€) ", 7536585.70 
Germany,DE,"Share of Cybersecurity projects budget per million people, (€) ", 5377224.27 
Denmark,DK,"Share of Cybersecurity projects budget per million people, (€) ", 11380052.05 
Estonia,EE,"Share of Cybersecurity projects budget per million people, (€) ", 38986216.68 
Greece,EL,"Share of Cybersecurity projects budget per million people, (€) ", 27091380.86 
Spain,ES,"Share of Cybersecurity projects budget per million people, (€) ", 9654835.41 
Finland,FI,"Share of Cybersecurity projects budget per million people, (€) ", 19024011.64 
France,FR,"Share of Cybersecurity projects budget per million people, (€) ", 5994341.77 
Croatia,HR,"Share of Cybersecurity projects budget per million people, (€) ", 7087923.69 
Hungary,HU,"Share of Cybersecurity projects budget per million people, (€) ", 2264237.78 
Ireland,IE,"Share of Cybersecurity projects budget per million people, (€) ", 21449826.40 
Iceland,IS,"Share of Cybersecurity projects budget per million people, (€) ", 9040885.13 
Italy,IT,"Share of Cybersecurity projects budget per million people, (€) ", 7064463.77 
Lithuania,LT,"Share of Cybersecurity projects budget per million people, (€) ", 9561126.77 
Luxembourg,LU,"Share of Cybersecurity projects budget per million people, (€) ", 61417007.39 
Latvia,LV,"Share of Cybersecurity projects budget per million people, (€) ", 9141162.68 
North Macedonia,MK,"Share of Cybersecurity projects budget per million people, (€) ", 572377.88 
Malta,MT,"Share of Cybersecurity projects budget per million people, (€) ", 19447473.65 
Netherlands,NL,"Share of Cybersecurity projects budget per million people, (€) ", 16801102.02 
Norway,NO,"Share of Cybersecurity projects budget per million people, (€) ", 18800958.28 
Poland,PL,"Share of Cybersecurity projects budget per million people, (€) ", 2369624.17 
Portugal,PT,"Share of Cybersecurity projects budget per million people, (€) ", 8176528.93 
Romania,RO,"Share of Cybersecurity projects budget per million people, (€) ", 2809509.01 
Serbia,RS,"Share of Cybersecurity projects budget per million people, (€) ", 1943554.11 
Sweden,SE,"Share of Cybersecurity projects budget per million people, (€) ", 9521890.56 
Slovenia,SI,"Share of Cybersecurity projects budget per million people, (€) ", 15189115.05 
Slovakia,SK,"Share of Cybersecurity projects budget per million people, (€) ", 2920000.15 
Turkey,TR,"Share of Cybersecurity projects budget per million people, (€) ", 11074421.63 
United Kingdom,UK,"Share of Cybersecurity projects budget per million people, (€) ", 2100900.55 
