Country,Abbr,Indicator,Data
Austria,AT,"Tender size benchmark:
Below threshold tender size benchmark,%",33%
Belgium,BE,"Tender size benchmark:
Below threshold tender size benchmark,%",55%
Bulgaria,BG,"Tender size benchmark:
Below threshold tender size benchmark,%",0%
Switzerland,CH,"Tender size benchmark:
Below threshold tender size benchmark,%",0%
Czechia (Czech Republic),CZ,"Tender size benchmark:
Below threshold tender size benchmark,%",25%
Germany,DE,"Tender size benchmark:
Below threshold tender size benchmark,%",50%
Denmark,DK,"Tender size benchmark:
Below threshold tender size benchmark,%",50%
Estonia,EE,"Tender size benchmark:
Below threshold tender size benchmark,%",50%
Spain,ES,"Tender size benchmark:
Below threshold tender size benchmark,%",
Finland,FI,"Tender size benchmark:
Below threshold tender size benchmark,%",0%
France,FR,"Tender size benchmark:
Below threshold tender size benchmark,%",47%
Greece,EL,"Tender size benchmark:
Below threshold tender size benchmark,%",100%
Croatia,HR,"Tender size benchmark:
Below threshold tender size benchmark,%",0%
Hungary,HU,"Tender size benchmark:
Below threshold tender size benchmark,%",
Ireland,IE,"Tender size benchmark:
Below threshold tender size benchmark,%",57%
Italy,IT,"Tender size benchmark:
Below threshold tender size benchmark,%",
Lithuania,LT,"Tender size benchmark:
Below threshold tender size benchmark,%",
Luxembourg,LU,"Tender size benchmark:
Below threshold tender size benchmark,%",
Latvia,LV,"Tender size benchmark:
Below threshold tender size benchmark,%",100%
North Macedonia,MK,"Tender size benchmark:
Below threshold tender size benchmark,%",
Malta,MT,"Tender size benchmark:
Below threshold tender size benchmark,%",100%
Netherlands,NL,"Tender size benchmark:
Below threshold tender size benchmark,%",25%
Norway,NO,"Tender size benchmark:
Below threshold tender size benchmark,%",40%
Poland,PL,"Tender size benchmark:
Below threshold tender size benchmark,%",94%
Portugal,PT,"Tender size benchmark:
Below threshold tender size benchmark,%",50%
Romania,RO,"Tender size benchmark:
Below threshold tender size benchmark,%",
Serbia,RS,"Tender size benchmark:
Below threshold tender size benchmark,%",
Sweden,SE,"Tender size benchmark:
Below threshold tender size benchmark,%",0%
United Kingdom,UK,"Tender size benchmark:
Below threshold tender size benchmark,%",96%
