project_id,project_acronym,project_title,participant_name,participant_short_name,pic,country,country_code,org_type,is_coordinator,eu_contribution
101127968,ATHENA,"Establishing Cross-border SOCs","YPOURGEIO PSIFIAKIS DIAKYVERNISIS",,912193239,Greece,GR,public_body,no,
101127968,ATHENA,"Establishing Cross-border SOCs","MINISTERSTVO NA ELEKTRONNOTO UPRAVLENIE",,887012427,Bulgaria,BG,public_body,no,253804
101127968,ATHENA,"Establishing Cross-border SOCs","MINISTRY FOR HOME AFFAIRS, SECURITY AND EMPLOYMENT",,915832291,Malta,MT,public_body,no,199490.8
101127968,ATHENA,"Establishing Cross-border SOCs","ETHNIKI ARCHI KYVERNOASFALEIAS",,877132007,Greece,GR,public_body,no,301954
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","CIBER TIEMPO REAL SISTEMAS S.L.",,877591981,Spain,ES,sme,yes,653100
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","EREVNITIKO PANEPISTIMIAKO INSTITOUTO SYSTIMATON EPIKOINONION KAI YPOLOGISTON",,999654356,Greece,GR,research_institution,no,486250
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU",,999977851,,,university,no,558125
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","CYBERSOCIAL LAB SRL IMPRESA SOCIALE",,884047428,Italy,IT,research_institution,no,387500
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","ETRA INVESTIGACION Y DESARROLLO SA",,999926441,Spain,ES,company,no,410768.75
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","ITTI SP ZOO",,999969509,Poland,PL,sme,no,448962.5
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT",,998709188,Spain,ES,research_institution,no,351125
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","ETHNIKO KENTRO EREVNAS KAI TECHNOLOGIKIS ANAPTYXIS",,998802502,Greece,GR,research_institution,no,490322.5
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","FAV INNOVATION AND TECHNOLOGIES COOP. V.",,893325187,Spain,ES,sme,no,449225
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","SIEC BADAWCZA LUKASIEWICZ - PRZEMYSLOWY INSTYTUT AUTOMATYKI I POMIAROW PIAP",,999549984,Poland,PL,research_institution,no,323375
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","SOUTH ENGINEERING SRL",,909752137,Italy,IT,sme,no,309400
101225583,ATHENA,"ADVANCED VALIDATION AND TESTING ENVIRONMENT FOR ENHANCING THE EU HW AND SW VULNE","CATONE LOGISTICA S.R.L.",,884485965,Italy,IT,company,no,322000
101167361,ATM-EXCITE,"Advancing Civil-Military Interoperability and","EURO-FUNDING EU PROJECTS SOCIEDAD LIMITADA",,909189731,Spain,ES,company,yes,231203.75
101167361,ATM-EXCITE,"Advancing Civil-Military Interoperability and","INFODAS GESELLSCHAFT FUR SYSTEMENTWICKLUNG UND INFORMATIONSVERARBEITUNG MBH",,886154753,Germany,DE,company,no,174650
101167361,ATM-EXCITE,"Advancing Civil-Military Interoperability and","""INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE AEROSPATIALA """"ELIE CARAFOLI""""- INCAS BUCURESTI""",,913125312,Romania,RO,research_institution,no,201210
101167361,ATM-EXCITE,"Advancing Civil-Military Interoperability and","STAM SRL",,916965542,Italy,IT,sme,no,99907.5
101167361,ATM-EXCITE,"Advancing Civil-Military Interoperability and","UPVISION S.R.O.",,914300273,Czechia,CZ,company,no,200026.25
101167361,ATM-EXCITE,"Advancing Civil-Military Interoperability and","TECHNICKA UNIVERZITA V KOSICIACH",,999839238,Slovakia,SK,university,no,49610
101128075,BCCR,"Binconf Range","BINARY CONFIDENCE S.R.O.",,888134717,Slovakia,SK,sme,yes,1184249.25
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","CBRA SERVICES",,889564012,Belgium,BE,sme,yes,582993.68
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","NEMZETI ADO- ES VAMHIVATAL",,952855930,Hungary,HU,public_body,no,145625.03
101167589,BORDERLINK,"Border Control Agencies for Interlinked and I","THE REVENUE COMMISSIONERS",,972417241,Ireland,IE,public_body,no,62937.5
